ten_quan,url_goc,diem,noi_dung,user
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,10.0,Nơi yên tĩnh làm thoải mái đầu óc chúng ta rất là nhẹ nhàng lo chụp cảnh quên chụp món ăn luôn ple 😜😜,Luân Văn
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,10.0,"Quang cảnh tự nhiên đi vào lòng người, không khí trong lành mát mẻ tới tận đáy lòng rất là dễ chịu quá tuyệt vời luôn, rất thích những nơi tự nhiên như vậy 😍",Hạnh Hồng
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,10.0,"Hôm nay vô tình đi ăn ở Hoàng Ty tôi rất thích không gian ở quán vì rộng rãi thoáng mát ,phục vụ chu đáo ,đồ ăn lên rất nhanh tôi rất hài lòng",Linh
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,8.8,"Quán mới mở vào ăn thử thấy thức ăn rất ngon. Các món cuốn rau rất tươi , thịt mềm và ngon.
Nhân viên đông nhưng rất lịch sự và nhanh nhẹn.",Hoàng Ân
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.4,"Quán mới mở được tầm 3-4 tháng nay. Gần công ty nên vào dùng bữa trưa. Quán sạch sẽ và đẹp. Thức ăn vẫn ngon như các chi nhánh khác, ko có gì phàn nàn. Nhân viên nhiệt tình lịch sự.",Ân Dương
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.6,"Món ăn quen thuộc, đặc biệt là rau ở đây. Rất tuyệt vời. 
 Mấy bạn phục vụ vui tính, dễ thương",Thai Tranphamvan
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.6,"Hnay tôi với bạn có hẹn nhau đi ăn, tôi vs bạn quyết định ăn ở Hoàng Ty Nguyễn Đình Chiểu vì bề ngoài đã thu hút tôi. Quán to, rộng rãi, sạch sẽ và thoáng mát. Thức ăn, đồ uống ở đây rất ngon, trang trí rất bắt mắt. Đặc biệt là mâm rau nhìn là muốn ăn liền vì tôi là một đứa thích ăn rau. Nhân viên thì nhiệt tình, vui vẻ lúc nào cũng nở nụ cười vs khách làm tôi cảm thấy rất hài lòng. Cách phục vụ thì rất chuyên nghiệp, các bạn nhân viên luôn cảm ơn khách hàng. Cám ơn Hoàng Ty Nguyễn Đình Chiểu vì đã đem tới cho tôi một bữa ăn thật là vui vẻ. Sẽ quay lại ủng hộ quán dài dài",Vi Trần
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.0,"Quán view đẹp, đồ ăn ngon phục vụ tận tình chu đáo. Sẽ ghé lại ăn nữa",Quan
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.0,"Đồ ăn ngon và đa dạng lắm, quán nằm vị trí thuận lợi ngay trung tâm, sẽ quay lại !",Foodee_8zli13h1
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,6.6,"Đã ăn ở Hoàng Ty mấy chỗ rồi và cũng chưa có chỗ nào để chê hết. Đồ ăn ngon, giá hợp lý. Điểm trừ duy nhất là quán khá ồn ào, cơ mà với quán bình dân thì như vậy cũng tạm chấp nhận được",Hoàng Jemin
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,4.6,"Mình mới đi ăn về nên mình review cho mọi người luôn 
Không gian quán thì rộng rãi, sạch sẽ. Nhưng cách phục vụ của nhân viên thì mình không hài lòng 
Mình kêu 1 phần bánh tráng lỗ tai heo phần lớn 2 người ăn và 1 ly nc cam vs chai nước suối + dĩa bún. Đồ ăn dọn lên đầy đủ nhưng 
1) Dĩa bún thì không có mình hỏi thì nv mới thông báo với mình là hết bún. Trong khi mình và bạn mình chờ bún để ăn rất lâu mà nv k báo.
2) Nước suối mình kêu đầu buổi tới cuối buổi luôn nv vẫn không phục vụ cho mình.
3) lúc mình kêu tính tiền thì nv đưa hoá đơn thi vẫn tính có nc suối và bún thì mình có nói là bàn em k có nc suối vs bún. Nv ở đó đã dằn mâm sán chén mình. Trong khi mình k sai gì cả . 
Có lẽ họ thấy mình ăn ít hoặc có lẽ họ nhìn vào tưởng mình k có tiền. Sẽ không quay lại đây ăn lần nào nữa",Kiều Oanh
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,8.4,"Chi nhánh mới khai trương, có chương trình check in giảm 20%, hoặc đặt bàn qua tablenow giảm 35% luôn đó 😍
Mình đi vào khoảng 8h30 tối chủ nhật nhưng ko đông lắm. Chắc chi nhánh mới nên ít ng biết tới
Không gian Rộng rãi, thoáng mát, sang hơn những chi nhánh khác, có nhạc nhẹ nhàng và có mùi tinh dầu. 
Về đồ ăn thì vẫn ngon như bình thường. Mình thích mắm của Hoàng Ty nhất. 
Điểm - chút là bánh tráng mặn quá, ko biết tại sao luôn :-ss",Vi Nguyễn
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,9.0,"Mình rất thích ăn bánh tráng cuốn thịt ở đây, mỗi khi thèm ăn rau là lại ghé Hoàng ty, nhìn dĩa rau xanh mát rất healthy. Các món ăn ở đây mình thấy khá ngon, vừa khẩu vị của m, sạch sẽ (gì chứ ăn ngon mà sạch là m chịu liền). 
Hôm nay mình đi ăn bên CN Nguyễn Đình Chiểu dc giảm giá 20%, lại dc anh mập mập cao cao (m ko biết tên) phục vụ rất ư là tận tình, chu đáo, nhìn khá chuyên nghiệp và vui vẻ nữa (nhớ lần trước team cty m ăn bên CN ở Phú Nhuận cũng dc anh này phục vụ, rất là ok luôn)
Không gian quán ok, có mấy cái đèn trang trí nhìn dễ thương. À mình cũng thích chè khúc bạch ở đây nữa. 
Có điều món lên hơi lâu (chắc do khách đông quá)
Nhưng nói chung mọi thứ ok với mình. (Lo ăn quá ko kịp chụp hình hihi)",Tracy Pham
Hoàng Ty Group - Đặc Sản Trảng Bàng - Mạc Đĩnh Chi,https://www.foody.vn/ho-chi-minh/hoang-ty-group-dac-san-trang-bang-mac-dinh-chi,8.2,"Hôm bữa vô tình đi ngang thì thấy Hoàng ty có chi nhánh mới ở đây,cũng to lắm. Nay có công việc đi nên ghé vào ăn luôn. Chất lượng của Hoàng Ty thì khỏi bàn rồi, mặt bằng rộng nha nhưng không bằng bên chi nhánh Hoa Mai .",Vi Cao
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,4.6,"có dịp ghé chợ Bến Thành là mình phải ăn bún thịt nướng của quán ,ăn nhiều quán rồi mà không đâu ngon bằng..",Huong Le
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,10.0,"Bên dưới là hình, có bạn review bảo không thấy muỗng đũa đâu còn tính phí ship, nhưng nhà mình cũng cách mười mấy căn, gọi điện là mang tận nơi miễn phí, chưa bao giờ gặp mấy trường hợp như kiểu bẩn hay quên này nọ. Nchung quán ruột nên phải review tận hai lần hehe!",Thi Quach
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,10.0,"Mình ăn ở đây hơn 15 năm rồi nha, tuy hơi mắc nhưng thịt và nước mắm rất ngon👍 gần như ngày nào mình cũng ăn",Thi Quach
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,6.4,"Quán này dễ tìm, gần ngay cửa bắc của chợ Bến Thành. 
Đồ ăn thì bình thường mà giá thì mắc quá. Mình gọi bún chả thì như 75k/ phần. Có điều khác biệt là quân dùng thịt nướng cây thay vì chả viên với chả miếng.
Mấy cô phục vụ cũng hơi có tuổi rồi nên phục vụ chậm.",Quyên Nguyen
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,1.0,"Tôi nhờ Delivery mua dùm 2 phần bún chả và nem, sau khi ăn gần hết bún, thịt nướng và nem tôi ngồi ăn một chút rau thì thấy trong rau muống bào có 1 con gián. Tôi đã chụp hình và gửi cho Delivery xem. Quán Hoa Đông có nói do sơ xuất trong khâu vệ sinh và Delivery đã thay mặt xin lỗi, nhưng thật sự là ko chấp nhận được sự ẩu tả này. Tôi đề nghị Delivery ngưng hợp tác với quán này.",Phương
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,9.2,"Tối nay mưa to tự nhiên thèm cơm sườn ở Hoa Đông. 
Trời mưa quân không đông khách lắm nên ra món khá nhanh.
Miếng sườn to ú nụ và dày như bàn tay ạ, ăn rất ngon cắn rất sướng miện ạ.
Nước chấm ngon ngọt mình cực thích nước chấm ở đây. Nước chấm của bún chả và cơm sườn là một loại. Vừa ngọt vừa sánh ko cay lắm, nêm nếm rất vừa miệng 👍",Vân Võ
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,9.2,"Mình là khách quen của quán! Mình hay ăn sáng và ăn tối ở đây.
Mình thử gần hết các món của quán rồi. Khá ngon!
Bánh canh cua ngon, nước lèo đặc quánh sền sệt 😊
Lúc nãy ăn thử món chạo tôm thấy không ngon lắm.
1 phần chạo tôm 120.000 ăn no luôn, thấy cục to đùng vậy chứ phần chạo bao bên ngoài khá mỏng vì bên trong là khúc mía to nhé!
Thỉnh thoảng ngồi ăn nghe chủ quán và nhân viên bàn tính chuyện đóng hụi rất rôm rả 🤣
Buổi trưa ở đây dù có máy quạt nhưng hơi nóng ạ!
Lần sau ăn món khác mình lại viết tiếp preview cho Foody nữa nhé!",Vân Võ
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,7.8,"Bún thịt nướng ở đây là quá không phải ăn như mình hay ăn mà phải để bún vào tô rồi để rau để thịt rồi chang nước từ thịt vào. Ăn khá lạ nhưng cũng ổn.
Quán hơi cũ, dạng quán ăn gia đình, bình dân nhưng gia cũng tầm 70k trở lên, khá đắt.
Nhân viên phục vụ hơi chậm ko tươi cười cho lắm
Nhìn chung cũng tạm",Vũ Mây
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,8.6,"Mình preview tiếp nhé! Đặc sản của quán là bún chả, bún thịt nướng. Ngoài ra quán còn có các món khác như: bún thang, bún bung, bánh canh, miến xào cua, miến gà, cơm sườn, phở... các món có theo ngày trong tuần chứ không phải ngày nào cũng có. 
Cơm sườn ở đây khá ngon, miếng sườn to nướng than thơm ngát, nước mắm bún chả và nước cơm sườn pha khá ngon, mặn ngọt vừa phải.
Nếu đến quán tầm giờ cơm trưa thì không gian khá hầm và oi bức vì trần nhà thấp, quán đông người mà chỉ có quạt nên chịu khó chút ạ!
Dù giá hơi cao do ngay khu vực chợ Bến Thành nhưng quán khá đông khách quen, khách du lịch.
Lần sau mình sẽ thử các món khác và viết preview tiếp cho Foody nhé!",Vân Võ
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,8.2,"Thỉnh thoảng mình hay ăn sáng ở đây! Quán này chuyên về bún chả. Nếu vào đây mà bạn gọi bún thịt nướng thì phục vụ sẽ bưng ra cho bạn một phần ăn y như bún chả. Tóm lại ở đây bún chả hay bún thịt nướng là như nhau 😂
Mình hay ăn bún thịt nướng, nem cua rán ở đây. Nem cua rán khá ngon, giòn, nêm nếm vừa phải, ăn rất vừa miệng.
Ở đây là dạng quán ăn bình dân nhưng do vị trí ngay khu trung tâm Q.1 gần chợ Bến Thành nên giá tương đối cao. Phục vụ ở đây đa phần là các cô, các chị lớn tuổi kiêm luôn phụ bếp nên đôi khi các cô hơi chậm.
Vì là quán ăn lâu đời nên quán cũng có một lượng khách quen nhất định.",Vân Võ
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,6.2,"Quán chuyên về bún chả, bún thịt nướng nhưng các món như miến xào, miến gà cũng khá ngon.
Dù là quán ăn bình dân nhưng giá khá cao do nằm gần khu trung tâm chợ Bến Thành.
Quán không có máy lạnh, trần nhà hơi thấp nên khi đến quán ăn những món nóng thì cũng hơi bất tiện",Ngăn Kim
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,1.6,"Mình ở cách đó có mười mấy căn nhà,vậy mà tính phí ship, rồi phần ăn thì ít, treo giá một đằng mà bán giá trên trời. Đồ ăn đem tới thì không có cả muỗng đũa, không lẽ ở công ty mà chạy đi mua đũa sao ??? Phần ăn thì không có gì đặc sắc, thịt ướp không ngon nữa chứ. Sẽ không bao giờ có lần 2 đâu.",Trịnh Huệ
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,7.2,"Quán nổi tiếng món bún thịt nướng, chả giò, thịt và chả giò được nướng tại chỗ khi khách order. Ngoài ra còn có nhiều món Hà Nội để thưởng thức nữa",Heo Mọi
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,4.8,Mình ko biết quán này ăn ngon thế nào chứ THẢI ĐỘ của nhân viên phục vụ thì đúng là VÔ DUYÊN hết mức dù là qua điện thoại gọi đến. Thời buổi này ăn ngon đến mấy mà phục vụ quán kém thì cũng chẳng có khách nào muốn vào!,Linh Lê
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,1.0,"Quán ngồi rất ngộp và cũng có phần không được sạch sẽ. Quán buổi trưa khách đông mà phục vụ có mấy người nên lâu vô cùng. Chỉ có 1 chị bếp nấu chính. Bánh canh mà mình thấy nấu từng tô. Rất lâu luôn.
Bún chả thì không có gì đặc sắc hoặc là cái kiểu bún chả hà nội nước mắm nó lạt lẽo hay sao. Ăn chán lắm. Chả giò thì thấm dầu nhiều. Ăn ngấy mỡ. Bún thì lạnh tanh. Thịt thì mỡ nướng khét nhiều. 
Nói chung ăn ở đây không ngon. Không món nào đắc sắc. Chỉ được cái nổi tiếng là bán lâu đời. Đã vậy giá rất mắc. Không hề rẻ chút nào.",Thanh Truc
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,3.6,"Quán vắng vẻ, một phần bún chả nhỏ xíu giá 60k. Thịt bị khô. Nhìn chung rất thất vọng",Dotrang_Htv
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,6.6,"Bán các món Hà nội thuần tuý, ăn thử bún thang cũng ổn, nước lèo ngọt bún hơi cứng, chả giò cua giòn, nhân cũng tạm tạm, quán bán kiểu gia đình nhưng giá không bình dân

Nói chung cũng chỉ là quán ăn bình thường không có gì đặc biệt để phải nhớ mãi...

Chấm 6.5/10",Andrew Nguyen
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,8.0,"Có thể nói món bún chả ở đây là mang hương vị tinh túy nhất mà tôi từng thưởng thức. Chắc chắn nhà hàng có bí quyết riêng để tạo nên sự ổn định của hương vị, thịt được ướp kẹp que tre nướng, nướng xong có màu hổ phách, bỏ ngay vào chén nước mắm được pha đúng vị, làm cho thịt thấm nước mắm, nước mắm ngọt vị thịt. 
Rau sống dọn kèm gồm có rau muống bào, rau thơm các loại, và giá sống. Giá sống được kỳ công nhặt bỏ hết đầu đuôi, chỉ giữ lại phần thân giá nên giòn và không hôi. Khi ăn, tôi ngâm rau muống bào trong chén mắm khoảng 2 phút, rau ngấm vị nước mắm, đậm đà và vẫn đảm bảo giòn tan. Gắp từng gắp bún nhỏ bỏ vào chén, chan 1 ít nước mắm. Ăn kèm 1 miếng thịt và rau muống vừa ngâm, bỏ thêm vài cọng rau thơm, đảm bảo BÚN CHẢ ở HOA ĐÔNG là ngon không đâu sánh bằng!
Với tôi, bún chả chỉ có ở HOA ĐÔNG, và đến HOA ĐÔNG chỉ nên ăn bún chả!",Thien Huong Bui Pham
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,6.8,"- Quán sạch đẹp, máy lạnh mát mẻ, bàn ghế gỗ mun đen. Nhìn bên ngoài tối tối, vô trong thấy...tối thiệt. Quầy tính tiền làm gợi nhớ tới thập niên 80-90 của thế kỉ trước. Quanh tường là hình đẹp của những món ăn.

- Menu và trên cửa nhấn vào món Hà Nội, chắc món chủ đạo của tiệm, nhưng vì quá ngán bún chả, bánh tôm, nem cua, sợ miến nên chưa thưởng thức được. Hôm đó họ hàng cơm chiên lại hết, thế là chỉ gọi nui. Và hẳn nhiên là nó...không ngon.

- Giá cả: khá rẻ, tầm 40k trở lên cho một món no bụng như cơm gà xối mỡ, bánh bèo tôm bông, nui bò trùm mền, vv... Miến xào tôm/cua 100k. Bún chả 40-60k. Nem cua bể 45-65k. Bánh tôm 65k. Bánh hỏi chạo tôm 65-95k.

- Nhân viên bình thường. Chỉ có 2 người: lớn tuổi phục vụ, trẻ tuổi đứng bếp nên chờ cũng hơi lâu.

- Có giao hàng tận nơi.",Alane Nguyen
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,8.8,"Bún chả ở đây ngon nhất mình từng ăn nhe. Quán sạch sẽ, nhân viên phục vụ tốt. Nói chung nên ghé thử để cảm nhận món bún chả đúng chất nhé.",Bena Phạm
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,3.8,"Mình vừa mua 1 phần bánh tằm. Trước đó mình cũng từng ăn hủ tíu ở đây nhưng lần này bánh tằm làm mình thật sự THẤT VỌNG. Sợi bánh là sợi hủ tíu chứ ko phải bánh tằm. Nước cốt dừa chưa đủ độ béo. Nước mắm thì ngọt quá. Phần bánh tằm như một phần chè.
Trước đây đi Miền Tây mình ăn bánh tằm ở chợ mà ngon gấp mấy lần.",Hoa Tra
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,4.2,"Ủa sao kì vậy, mua thịt băm cho em bé, mình tưởng thịt băm là thịt xay xào lên chứ, thịt này thì em bé ăn sao được. Quán làm ăn gì kì vậy?",Quang Hien
